Wavelength (nm),Intensity
498.3033142089844,175.0
498.892822265625,164.0
499.48236083984375,159.25
500.0718078613281,176.75
500.6612243652344,160.25
501.2506408691406,177.0
501.8399963378906,155.5
502.4293212890625,174.0
503.01861572265625,164.75
503.6078796386719,166.5
504.1971130371094,154.5
504.7862854003906,166.25
505.3754577636719,164.5
505.9646301269531,161.75
506.5537109375,166.25
507.1427917480469,174.25
507.7318420410156,154.5
508.3208312988281,160.75
508.9097900390625,163.75
509.4987487792969,164.0
510.0876770019531,150.0
510.676513671875,158.25
511.2653503417969,158.25
511.8541564941406,161.25
512.4429321289062,169.0
513.03173828125,162.0
513.6204223632812,159.5
514.2091064453125,156.5
514.7977905273438,160.5
515.3863525390625,165.5
515.9749755859375,161.0
516.5634765625,166.75
517.1520385742188,155.25
517.740478515625,160.25
518.3289794921875,156.75
518.9173583984375,163.5
519.5057983398438,165.75
520.0941162109375,165.0
520.6824951171875,165.5
521.270751953125,168.25
521.8589477539062,162.25
522.4472045898438,169.25
523.035400390625,175.0
523.62353515625,164.25
524.211669921875,162.5
524.7998046875,174.5
525.3877563476562,166.5
525.9758911132812,167.5
526.5638427734375,157.0
527.15185546875,163.25
527.73974609375,172.25
528.3275756835938,167.75
528.9154663085938,162.25
529.5032958984375,165.5
530.091064453125,161.0
530.6788330078125,168.5
531.2666625976562,165.75
531.854248046875,162.0
532.4419555664062,167.25
533.0296020507812,173.0
533.6171875,168.75
534.2047729492188,166.25
534.7922973632812,170.5
535.3797607421875,170.0
535.9672241210938,162.5
536.5546264648438,173.75
537.1420288085938,169.0
537.7294311523438,164.25
538.3167114257812,172.0
538.904052734375,180.75
539.4912719726562,161.25
540.0784912109375,164.0
540.6657104492188,170.0
541.2528686523438,174.0
541.8399658203125,168.75
542.4271240234375,172.0
543.0140991210938,172.0
543.6011352539062,175.0
544.188232421875,168.5
544.7750854492188,171.75
545.362060546875,169.0
545.948974609375,169.0
546.5358276367188,162.0
547.1226806640625,165.75
547.7094116210938,171.25
548.2962036132812,168.0
548.8828735351562,158.0
549.4695434570312,172.5
550.0562133789062,168.75
550.6429443359375,161.0
551.2293701171875,163.0
551.8159790039062,177.0
552.4025268554688,166.75
552.989013671875,170.75
553.575439453125,169.0
554.161865234375,165.5
554.748291015625,166.0
555.3345947265625,165.75
555.9210205078125,167.75
556.5072021484375,165.0
557.0934448242188,175.25
557.6796875,167.0
558.2659301757812,165.75
558.85205078125,164.25
559.4381103515625,168.0
560.024169921875,169.0
560.6102294921875,162.5
561.1962280273438,173.75
561.7822265625,167.0
562.3682250976562,166.0
562.9540405273438,170.0
563.5399780273438,157.75
564.1257934570312,161.25
564.7116088867188,161.0
565.29736328125,163.0
565.8831176757812,164.0
566.4688110351562,165.75
567.0545043945312,167.5
567.6400756835938,176.0
568.2257080078125,162.0
568.811279296875,167.5
569.3967895507812,164.75
569.9822998046875,151.25
570.5677490234375,162.0
571.1531982421875,165.0
571.7385864257812,166.75
572.3239135742188,168.75
572.9093017578125,173.0
573.4945678710938,165.0
574.0797729492188,169.0
574.6649780273438,163.75
575.250244140625,172.25
575.8353271484375,161.0
576.4204711914062,169.0
577.0055541992188,167.5
577.590576171875,170.75
578.1756591796875,173.0
578.7606201171875,173.5
579.3455200195312,166.0
579.930419921875,169.25
580.5152587890625,170.75
581.10009765625,168.0
581.6849365234375,166.75
582.2697143554688,166.0
582.8544921875,162.5
583.4391479492188,169.25
584.0238037109375,167.0
584.6084594726562,178.25
585.1929931640625,177.0
585.777587890625,163.75
586.362060546875,172.0
586.9465942382812,169.0
587.5310668945312,168.0
588.1155395507812,175.5
588.6998291015625,180.75
589.2841796875,164.0
589.8685302734375,167.0
590.4527587890625,155.0
591.0370483398438,176.75
591.6212158203125,171.75
592.2053833007812,174.0
592.78955078125,167.5
593.3737182617188,161.5
593.9577026367188,172.75
594.5418090820312,164.25
595.125732421875,177.0
595.709716796875,169.25
596.2936401367188,173.25
596.8775024414062,159.75
597.4613647460938,180.0
598.0452270507812,180.5
598.6289672851562,174.0
599.2127075195312,167.5
599.7965087890625,171.75
600.380126953125,172.0
600.9638061523438,173.25
601.5473022460938,179.0
602.1309204101562,178.75
602.7145385742188,176.25
603.2979736328125,179.0
603.8814086914062,166.0
604.46484375,172.0
605.0482788085938,169.75
605.631591796875,176.5
606.2149658203125,158.5
606.7982177734375,181.0
607.3814697265625,172.0
607.964599609375,174.25
608.5478515625,172.25
609.1309814453125,182.75
609.714111328125,188.0
610.2971801757812,173.5
610.8801879882812,165.0
611.4632568359375,188.0
612.0462036132812,178.25
612.629150390625,167.5
613.2119750976562,172.75
613.7948608398438,173.0
614.377685546875,181.0
614.96044921875,180.0
615.543212890625,170.75
616.1259155273438,172.75
616.7085571289062,177.0
617.2911987304688,174.5
617.8739013671875,176.0
618.4563598632812,177.25
619.0390014648438,166.25
619.6213989257812,165.0
620.2039184570312,163.25
620.786376953125,171.0
621.3687133789062,170.5
621.9510498046875,158.0
622.5333862304688,167.5
623.1156616210938,176.0
623.6979370117188,171.0
624.2801513671875,169.75
624.8623046875,170.0
625.4444580078125,171.25
626.0264892578125,173.0
626.6085815429688,167.5
627.1906127929688,176.25
627.7725830078125,162.0
628.3545532226562,169.0
628.9364624023438,170.0
629.518310546875,166.75
630.1002197265625,165.5
630.6820678710938,165.0
631.2637329101562,174.5
631.8455200195312,178.0
632.4271850585938,170.75
633.0088500976562,161.75
633.5905151367188,164.5
634.172119140625,174.25
634.753662109375,165.5
635.3351440429688,161.25
635.9166259765625,166.25
636.498046875,153.75
637.0795288085938,170.5
637.6608276367188,165.75
638.2421875,165.5
638.8234252929688,168.0
639.4047241210938,172.25
639.9859008789062,168.75
640.567138671875,173.75
641.1482543945312,170.25
641.7293701171875,175.5
642.3104858398438,163.0
642.8914794921875,168.25
643.4725341796875,165.75
644.0534057617188,160.5
644.6343994140625,176.25
645.2152709960938,168.0
645.796142578125,166.5
646.3768920898438,166.25
646.9577026367188,170.25
647.5383911132812,167.5
648.119140625,175.0
648.6998901367188,172.75
649.2804565429688,165.5
649.861083984375,167.0
650.4415283203125,169.25
651.0221557617188,170.5
651.6025390625,157.25
652.1830444335938,169.25
652.763427734375,165.5
653.3438110351562,155.0
653.9241333007812,161.75
654.5044555664062,171.5
655.084716796875,172.0
655.6649169921875,171.75
656.2451171875,162.5
656.8252563476562,168.25
657.4053344726562,166.75
657.9854736328125,163.0
658.5654907226562,170.75
659.1454467773438,171.75
659.7254028320312,169.5
660.3052978515625,162.75
660.8851928710938,166.5
661.465087890625,171.25
662.0447998046875,170.75
662.6246337890625,165.75
663.204345703125,162.25
663.7841186523438,168.75
664.3637084960938,168.5
664.943359375,171.75
665.5228881835938,168.75
666.1024780273438,168.5
666.6819458007812,166.25
667.261474609375,163.75
667.8409423828125,172.75
668.4202270507812,163.75
668.9996337890625,158.75
669.5789184570312,165.5
670.1582641601562,162.75
670.7374877929688,163.25
671.316650390625,164.25
671.8958129882812,177.75
672.4749755859375,168.25
673.0540771484375,173.75
673.6331176757812,169.5
674.212158203125,172.0
674.7910766601562,166.75
675.3700561523438,165.5
675.9489135742188,167.75
676.52783203125,172.75
677.1066284179688,160.5
677.6854248046875,167.25
678.26416015625,164.75
678.8428955078125,165.75
679.421630859375,159.25
680.000244140625,172.75
680.578857421875,168.5
681.1573486328125,168.25
681.7359008789062,169.75
682.3143310546875,171.5
682.892822265625,161.75
683.4712524414062,168.25
684.049560546875,181.0
684.6279296875,162.75
685.2062377929688,165.75
685.7845458984375,162.25
686.3626708984375,158.5
686.9408569335938,170.5
687.5189208984375,164.75
688.0971069335938,184.75
688.6751098632812,159.0
689.253173828125,164.75
689.8311767578125,163.75
690.4091186523438,160.25
690.9869995117188,166.75
691.5648193359375,168.5
692.1427612304688,174.75
692.720458984375,160.75
693.2982788085938,166.5
693.8759155273438,174.75
694.4536743164062,164.75
695.0313110351562,163.75
695.60888671875,165.25
696.1864013671875,172.25
696.7639770507812,176.25
697.3414306640625,160.75
697.9188842773438,163.25
698.496337890625,164.5
699.0736083984375,170.5
699.6510009765625,173.5
700.228271484375,183.25
700.8056030273438,176.5
701.3827514648438,168.25
701.9598999023438,167.75
702.5370483398438,187.75
703.1141357421875,174.5
703.6912231445312,167.75
704.2681884765625,174.5
704.84521484375,171.25
705.4220581054688,162.75
705.9990234375,166.75
706.5758666992188,170.75
707.1527099609375,177.75
707.7294921875,169.5
708.3062133789062,167.25
708.8829345703125,163.25
709.4595947265625,166.25
710.0361938476562,182.25
710.61279296875,174.75
711.1893920898438,168.0
711.765869140625,178.5
712.3424072265625,174.0
712.9187622070312,168.0
713.4951782226562,168.75
714.071533203125,167.0
714.6478271484375,174.25
715.22412109375,169.5
715.8003540039062,176.0
716.3765869140625,173.75
716.9526977539062,179.5
717.5288696289062,164.0
718.1048583984375,170.75
718.6809692382812,168.5
719.2568969726562,165.25
719.8328857421875,172.75
720.4088134765625,171.5
720.9846801757812,169.25
721.5604858398438,170.25
722.1362915039062,165.0
722.7120971679688,170.75
723.2877807617188,167.25
723.863525390625,176.5
724.4390869140625,168.0
725.0147094726562,168.0
725.5902099609375,172.75
726.1658325195312,170.5
726.7412719726562,165.75
727.3167114257812,173.5
727.89208984375,163.5
728.4674682617188,162.75
729.0428466796875,161.25
729.6181030273438,170.75
730.193359375,164.75
730.7685546875,163.75
731.3436889648438,167.75
731.9188842773438,168.5
732.4939575195312,173.75
733.0689697265625,171.75
733.6439819335938,172.75
734.2188720703125,161.25
734.7938842773438,169.25
735.3687744140625,166.25
735.9435424804688,175.75
736.5184326171875,171.25
737.0931396484375,168.0
737.6678466796875,166.5
738.2426147460938,169.5
738.8171997070312,169.25
739.391845703125,173.0
739.9663696289062,170.5
740.5408935546875,163.75
741.1154174804688,168.75
741.6898803710938,161.0
742.2642211914062,179.5
742.838623046875,171.75
743.412841796875,165.25
743.9872436523438,169.75
744.5614624023438,160.5
745.1356201171875,160.75
745.7097778320312,163.75
746.2838745117188,170.5
746.8579711914062,168.25
747.4320678710938,175.25
748.006103515625,169.25
748.5799560546875,160.25
749.1539916992188,165.75
749.727783203125,169.5
750.3016967773438,184.5
750.8754272460938,163.0
751.44921875,169.5
752.02294921875,168.25
752.5965576171875,168.75
753.1702880859375,163.25
753.7438354492188,165.0
754.3173828125,180.25
754.890869140625,164.5
755.46435546875,167.75
756.0377807617188,170.5
756.6111450195312,163.5
757.1845092773438,170.5
757.7578735351562,174.25
758.3311157226562,166.75
758.9043579101562,172.75
759.4776000976562,166.25
760.0506591796875,165.25
760.623779296875,163.0
761.19677734375,152.75
761.7698974609375,174.25
762.3428344726562,168.0
762.915771484375,166.0
763.4887084960938,164.0
764.0615234375,168.75
764.6343994140625,170.0
765.2070922851562,162.0
765.7799682617188,175.0
766.3526000976562,164.5
766.9252319335938,167.25
767.4978637695312,170.0
768.0704345703125,169.0
768.6429443359375,169.0
769.2154541015625,161.75
769.7879638671875,171.5
770.3603515625,167.0
770.9326782226562,159.5
771.5050048828125,166.5
772.0773315429688,172.75
772.6495361328125,160.25
773.2218017578125,160.0
773.7938842773438,164.25
774.3660278320312,167.75
774.9381103515625,174.75
775.5101318359375,167.0
776.0821533203125,164.5
776.6541137695312,171.0
777.2259521484375,154.75
777.7978515625,168.75
778.3696899414062,170.0
778.9414672851562,170.25
779.5133056640625,160.5
780.0848999023438,165.75
780.6566162109375,163.25
781.228271484375,167.5
781.7998046875,165.0
782.3713989257812,180.25
782.94287109375,171.75
783.5142822265625,171.5
784.085693359375,172.75
784.6571044921875,165.0
785.2283935546875,181.0
785.7997436523438,172.25
786.3709106445312,169.25
786.942138671875,171.25
787.5133056640625,174.0
788.08447265625,171.5
788.655517578125,169.5
789.2265625,175.0
789.797607421875,166.0
790.3685302734375,174.5
790.939453125,164.75
791.51025390625,170.25
792.0811767578125,170.5
792.65185546875,167.0
793.22265625,167.75
793.7933959960938,162.75
794.364013671875,161.0
794.9346313476562,180.75
795.5051879882812,169.5
796.0758056640625,171.25
796.646240234375,176.25
797.2167358398438,164.0
797.7870483398438,169.25
798.3575439453125,169.25
798.927734375,172.5
799.4981079101562,170.5
800.0682983398438,172.5
800.6385498046875,176.0
801.2086791992188,160.0
801.7787475585938,169.75
802.348876953125,167.25
802.9188232421875,169.75
803.4888916015625,164.0
804.0587768554688,166.5
804.6287231445312,164.75
805.1986083984375,166.0
805.7683715820312,165.25
806.3381958007812,158.5
806.9078979492188,170.75
807.4776000976562,170.75
808.0472412109375,165.5
808.6168823242188,165.5
809.1864013671875,162.25
809.7559204101562,171.25
810.3253173828125,167.75
810.8948364257812,166.75
811.4642944335938,171.25
812.0335693359375,175.0
812.6029052734375,170.0
813.172119140625,165.25
813.7413940429688,168.25
814.310546875,175.5
814.8796997070312,170.5
815.4487915039062,172.0
816.0178833007812,163.0
816.5867919921875,166.0
817.1558227539062,173.75
817.7247314453125,166.75
818.2936401367188,171.0
818.8624267578125,174.5
819.4312133789062,174.0
819.9999389648438,167.25
820.5687255859375,167.75
821.1373901367188,156.5
821.7059326171875,162.25
822.2745971679688,161.0
822.8430786132812,175.5
823.41162109375,175.25
823.9800415039062,165.75
824.5484619140625,175.0
825.1168212890625,164.0
825.6851196289062,168.75
826.2534790039062,171.5
826.8215942382812,178.25
827.3898315429688,169.0
827.9579467773438,171.5
828.526123046875,171.25
829.0941162109375,180.25
829.6621704101562,183.0
830.2301635742188,178.0
830.798095703125,169.75
831.365966796875,167.5
831.9337768554688,171.0
832.5016479492188,176.5
833.0693359375,159.5
833.6370849609375,171.25
834.2047119140625,171.75
834.7724609375,163.0
835.3399047851562,165.75
835.9075317382812,166.75
836.4749755859375,170.0
837.04248046875,170.25
837.6099243164062,168.5
838.17724609375,163.75
838.74462890625,171.25
839.3118286132812,178.5
839.879150390625,167.0
840.4462280273438,173.75
841.0134887695312,167.75
841.5805053710938,168.5
842.1476440429688,158.25
842.714599609375,172.5
843.2816162109375,166.25
843.8485717773438,169.25
844.4154052734375,172.75
844.9822998046875,173.5
845.5490112304688,163.75
846.1158447265625,165.5
846.6824951171875,169.5
847.249267578125,169.25
847.8157958984375,168.25
848.3824462890625,164.75
848.9489135742188,173.75
849.5155029296875,167.25
850.0819702148438,171.5
850.6483154296875,163.0
851.2147216796875,172.75
851.781005859375,167.75
852.3472900390625,166.0
852.9134521484375,180.25
853.479736328125,173.5
854.0458374023438,171.25
854.6119384765625,175.25
855.1780395507812,169.5
855.7439575195312,168.0
856.3099975585938,171.75
856.8758544921875,165.5
857.4417724609375,166.0
858.0076293945312,168.25
858.5734252929688,179.5
859.1390991210938,152.75
859.704833984375,172.25
860.2704467773438,161.0
860.8361206054688,166.5
861.4017333984375,169.25
861.9671630859375,165.75
862.53271484375,171.5
863.09814453125,170.0
863.66357421875,173.25
864.2288208007812,161.5
864.794189453125,163.75
865.359375,172.25
865.9246215820312,158.5
866.48974609375,175.5
867.0548706054688,170.75
867.6200561523438,172.75
868.18505859375,174.5
868.7500610351562,167.25
869.3150024414062,158.75
869.8799438476562,165.75
870.4447021484375,174.25
871.0095825195312,178.75
871.5742797851562,173.0
872.1390380859375,170.75
872.7036743164062,167.25
873.2683715820312,170.5
873.8330078125,165.75
874.3975219726562,165.0
874.9620361328125,155.75
875.5264282226562,163.5
876.0908813476562,170.25
876.6551513671875,170.75
877.2195434570312,170.0
877.7838134765625,167.75
878.3480224609375,173.75
878.9121704101562,169.5
879.4763793945312,169.25
880.0404663085938,160.5
880.6044921875,169.75
881.1685791015625,158.25
881.7324829101562,171.75
882.29638671875,171.5
882.8602294921875,163.75
883.4241333007812,166.75
883.98779296875,162.0
884.5516357421875,169.25
885.115234375,174.25
885.6788940429688,165.25
886.2426147460938,171.75
886.8060913085938,171.5
887.36962890625,168.5
887.9330444335938,156.5
888.4965209960938,173.5
889.0598754882812,171.75
889.6232299804688,170.25
890.1864013671875,169.25
890.749755859375,169.75
891.3129272460938,167.25
891.8760986328125,164.25
892.439208984375,176.5
893.002197265625,155.5
893.5652465820312,166.75
894.128173828125,168.5
894.6911010742188,160.5
895.2539672851562,160.25
895.8168334960938,174.75
896.3795776367188,170.25
896.9423828125,171.25
897.5050659179688,169.25
898.0676879882812,173.5
898.63037109375,172.25
899.1928100585938,164.0
899.75537109375,167.0
900.3177490234375,162.5
900.8802490234375,163.75
901.4425659179688,171.5
902.0049438476562,169.0
902.567138671875,173.0
903.1294555664062,171.75
903.691650390625,170.75
904.2537841796875,174.75
904.81591796875,173.5
905.3778686523438,162.0
905.9400024414062,169.25
906.5018920898438,177.75
907.0638427734375,174.75
907.6256103515625,171.25
908.1875610351562,171.5
908.749267578125,176.0
909.31103515625,176.75
909.8727416992188,167.25
910.434326171875,175.0
